"d_x","d_y","ts_x","ts_y","f_x","f_y","cs_x","cs_y"
1503,748.056641,1503,3200,1503,1408.62146,1503,3150,
1504,750.474792,1504,3200,1504,1407.881958,1504,3150,
1505,752.456482,1505,3200,1505,1409.678589,1505,3073.170654,
1506,753.695068,1506,3200,1506,1409.15686,1506,3150,
1507,754.476318,1507,3200,1507,1409.632202,1507,3150,
1508,754.625122,1508,3200,1508,1408.21106,1508,3200,
1509,755.406372,1509,3200,1509,1408.689697,1509,3150,
1510,755.555176,1510,3200,1510,1409.26355,1510,3200,
1511,756.336426,1511,3200,1511,1410.809937,1511,3150,
1512,756.485229,1512,3200,1512,1410.809937,1512,3200,
1513,756.485229,1513,3200,1513,1412.422119,1513,3200,
1514,756.634033,1514,3200,1514,1412.258789,1514,3200,
1515,756.634033,1515,3200,1515,1412.997925,1515,3200,
1516,756.782837,1516,3200,1516,1412.844971,1516,3200,
1517,757.564087,1517,3200,1517,1414.644531,1517,3150,
1518,757.712891,1518,3200,1518,1414.110352,1518,3200,
1519,757.712891,1519,3200,1519,1414.105713,1519,3200,
1520,759.387024,1520,3200,1520,1415.015259,1520,3150,
1521,759.387024,1521,3200,1521,1414.712036,1521,3200,
1522,760.279907,1522,3200,1522,1414.779175,1522,3200,
1523,760.279907,1523,3200,1523,1415.095337,1523,3200,
1524,760.391541,1524,3200,1524,1414.462524,1524,3250,
1525,760.848877,1525,3200,1525,1415.059692,1525,3170.731689,
1526,760.544006,1526,3200,1526,1413.485229,1526,3200,
1527,760.544006,1527,3200,1527,1413.221436,1527,3200,
1528,759.91156,1528,3200,1528,1411.940186,1528,3250,
1529,759.91156,1529,3200,1529,1412.431641,1529,3200,
1530,759.316345,1530,3200,1530,1411.892578,1530,3200,
1531,759.316345,1531,3200,1531,1412.242187,1531,3200,
1532,758.683899,1532,3200,1532,1410.672852,1532,3250,
1533,758.683899,1533,3200,1533,1410.672852,1533,3200,
1534,758.832703,1534,3200,1534,1410.891235,1534,3200,
1535,758.832703,1535,3200,1535,1411.095581,1535,3200,
1536,759.725586,1536,3200,1536,1411.382935,1536,3200,
1537,760.506836,1537,3200,1537,1412.637695,1537,3150,
