"d_x","d_y","cs_x","cs_y"
4753,981.366821,4753,3550,
4754,981.366821,4754,3600,
4755,981.366821,4755,3600,
4756,980.672363,4756,3600,
4757,982.023743,4757,3600,
4758,984.726501,4758,3600,
4759,986.077881,4759,3600,
4760,1004.375,4760,3750,
4761,1006.875,4761,3800,
4762,1010,4762,3750,
4763,1015.625,4763,3800,
4764,1017.5,4764,3850,
4765,1021.875,4765,3850,
4766,1023.75,4766,3850,
4767,1025,4767,3900,
4768,1028.125,4768,3850,
4769,1030.625,4769,3800,
4770,1034.375,4770,3800,
4771,1036.25,4771,3850,
4772,1038.125,4772,3850,
4773,1041.25,4773,3900,
4774,1042.5,4774,3900,
4775,1044.375,4775,3950,
4776,1045,4776,3950,
4777,1045.625,4777,3950,
4778,1046.875,4778,3950,
4779,1047.5,4779,3950,
4780,1048.125,4780,4000,
4781,1048.125,4781,4000,
4782,1048.75,4782,3950,
4783,1048.75,4783,4000,
4784,1048.75,4784,4000,
4785,1050.625,4785,3900,
4786,1051.25,4786,3950,
4787,1051.875,4787,3950,
4788,1053.125,4788,3950,
4789,1053.125,4789,4000,
4790,1053.75,4790,4000,
4791,1053.125,4791,4050.000244,
4792,1053.125,4792,4000,
4793,1053.125,4793,4000,
4794,1052.5,4794,4050.000244,
4795,1052.5,4795,4050.000244,
4796,1052.5,4796,4000,
4797,1051.875,4797,4050.000244,
4798,1051.875,4798,4000,
4799,1051.875,4799,4000,
4800,1052.5,4800,3950,
4801,1053.125,4801,3950,
4802,1053.125,4802,4000,
4803,1053.75,4803,4000,
4804,1053.75,4804,4000,
4805,1053.75,4805,4000,
4806,1053.125,4806,4050.000244,
4807,1053.125,4807,4000,
4808,1053.125,4808,4000,
4809,1052.5,4809,4050.000244,
4810,1051.875,4810,4050.000244,
4811,1051.875,4811,4000,
4812,1051.25,4812,4050.000244,
4813,1050.625,4813,4000,
4814,1050,4814,4050.000244,
4815,1050,4815,4000,
4816,1050.625,4816,3950,
4817,1051.25,4817,3950,
4818,1051.25,4818,4000,
4819,1051.25,4819,4000,
4820,1051.25,4820,4000,
4821,1051.25,4821,4000,
4822,1050.625,4822,4050.000244,
4823,1050.625,4823,4000,
4824,1050,4824,4050.000244,
4825,1050,4825,4000,
4826,1049.375,4826,4050.000244,
4827,1048.75,4827,4050.000244,
4828,1048.125,4828,4050.000244,
4829,1048.125,4829,4000,
4830,1048.75,4830,3950,
4831,1048.75,4831,4000,
4832,1049.375,4832,3950,
4833,1049.375,4833,4000,
4834,1049.375,4834,4000,
4835,1048.75,4835,4050.000244,
4836,1048.75,4836,4000,
4837,1048.125,4837,4050.000244,
4838,1048.125,4838,4000,
4839,1048.125,4839,4000,
4840,1049.375,4840,3950,
4841,1049.375,4841,4000,
4842,1050.625,4842,3900,
4843,1051.25,4843,3950,
4844,1052.5,4844,3900,
4845,1053.75,4845,3950,
4846,1055,4846,3900,
4847,1055.625,4847,3950,
4848,1056.875,4848,3950,
4849,1056.875,4849,4000,
4850,1056.875,4850,4000,
4851,1056.875,4851,4000,
4852,1056.875,4852,4000,
4853,1057.5,4853,3950,
4854,1058.125,4854,3950,
4855,1058.75,4855,3950,
4856,1058.75,4856,4000,
4857,1058.75,4857,4000,
4858,1058.75,4858,4000,
4859,1059.375,4859,3950,
4860,1060,4860,4000,
4861,1060.625,4861,3950,
4862,1061.25,4862,3950,
4863,1061.25,4863,4000,
4864,1061.25,4864,4000,
4865,1060,4865,4050.000244,
4866,1060,4866,4000,
4867,1059.375,4867,4050.000244,
4868,1059.375,4868,4000,
4869,1059.375,4869,4000,
4870,1060,4870,3950,
4871,1060.625,4871,3950,
4872,1060.625,4872,4000,
4873,1060,4873,4000,
4874,1060.625,4874,3950,
4875,1061.25,4875,3950,
4876,1061.875,4876,3950,
4877,1061.875,4877,4000,
4878,1062.5,4878,4000,
4879,1061.875,4879,4050.000244,
4880,1061.25,4880,4050.000244,
4881,1061.25,4881,4000,
4882,1060.625,4882,4050.000244,
4883,1060,4883,4000,
4884,1060.625,4884,3950,
4885,1060.625,4885,4000,
4886,1061.25,4886,3950,
4887,1061.25,4887,4000,
4888,1060.625,4888,4000,
4889,1060.625,4889,4000,
4890,1061.25,4890,4000,
4891,1061.875,4891,3950,
4892,1061.875,4892,4000,
4893,1062.5,4893,4000,
4894,1061.875,4894,4050.000244,
4895,1061.25,4895,4050.000244,
4896,1060.625,4896,4050.000244,
4897,1060,4897,4050.000244,
4898,1060,4898,4000,
4899,1059.375,4899,4050.000244,
4900,1060,4900,4000,
4901,1060.625,4901,3950,
4902,1060,4902,4050.000244,
4903,1060,4903,4000,
4904,1060,4904,4000,
4905,1061.25,4905,3950,
4906,1061.25,4906,4000,
4907,1061.875,4907,3950,
4908,1061.25,4908,4050.000244,
4909,1061.25,4909,4000,
4910,1060,4910,4050.000244,
4911,1059.375,4911,4050.000244,
4912,1059.375,4912,4000,
4913,1059.375,4913,4000,
4914,1059.375,4914,4000,
4915,1060.625,4915,3950,
4916,1061.25,4916,3950,
4917,1061.25,4917,4000,
4918,1061.25,4918,4000,
4919,1061.25,4919,4000,
4920,1062.5,4920,3900,
4921,1062.5,4921,4000,
4922,1062.5,4922,4000,
4923,1062.5,4923,4050.000244,
4924,1062.5,4924,4000,
4925,1061.875,4925,4050.000244,
4926,1061.25,4926,4050.000244,
4927,1060.625,4927,4050.000244,
4928,1060.625,4928,4000,
4929,1060.625,4929,4000,
4930,1061.25,4930,4000,
4931,1061.25,4931,4000,
4932,1061.25,4932,4000,
4933,1061.875,4933,3950,
4934,1061.875,4934,4000,
4935,1062.5,4935,3950,
4936,1063.125,4936,3950,
4937,1063.125,4937,4000,
4938,1063.125,4938,4050.000244,
4939,1062.5,4939,4050.000244,
4940,1061.875,4940,4050.000244,
4941,1061.25,4941,4050.000244,
4942,1060.625,4942,4050.000244,
4943,1060.625,4943,4000,
4944,1061.25,4944,3950,
4945,1061.25,4945,4000,
4946,1061.875,4946,3950,
4947,1061.875,4947,4000,
4948,1062.5,4948,3950,
4949,1062.5,4949,4000,
4950,1063.75,4950,3950,
